"","UniID","mom","ID","temp","active","instar","dur_class","Mo","year"
"251","2 17","2",17,29,"y",5,6,49.49,"2024"
"252","2 17","2",17,29,"y",5,24,49.49,"2024"
"253","2 18","2",18,29,"y",5,0,73.08,"2024"
"254","2 18","2",18,29,"y",5,6,73.08,"2024"
"255","2 18","2",18,29,"y",5,24,73.08,"2024"
"256","2 19","2",19,29,"y",5,0,74.17,"2024"
"257","2 19","2",19,29,"y",5,6,74.17,"2024"
"258","2 19","2",19,29,"y",5,24,74.17,"2024"
"259","2 20","2",20,29,"y",5,0,91.23,"2024"
"260","2 20","2",20,29,"y",5,6,91.23,"2024"
"261","2 20","2",20,29,"y",5,24,91.23,"2024"
"262","5 25","5",25,29,"y",5,0,69,"2024"
"263","5 25","5",25,29,"y",5,6,69,"2024"
"264","5 25","5",25,29,"y",5,24,69,"2024"
"265","1 22","1",22,29,"y",4,0,11.69,"2024"
"266","1 22","1",22,29,"y",4,6,11.69,"2024"
"267","1 22","1",22,29,"n",4,24,11.69,"2024"
"268","1 23","1",23,29,"y",4,0,17.76,"2024"
"269","1 23","1",23,29,"y",4,6,17.76,"2024"
"270","1 23","1",23,29,"n",4,24,17.76,"2024"
"271","1 24","1",24,29,"y",4,0,10.44,"2024"
"272","1 24","1",24,29,"y",4,6,10.44,"2024"
"273","1 24","1",24,29,"n",4,24,10.44,"2024"
"274","1 25","1",25,29,"y",4,0,11.23,"2024"
"275","1 25","1",25,29,"y",4,6,11.23,"2024"
"276","1 25","1",25,29,"n",4,24,11.23,"2024"
"277","1 26","1",26,29,"y",4,0,9.94,"2024"
"278","1 26","1",26,29,"y",4,6,9.94,"2024"
"279","1 26","1",26,29,"n",4,24,9.94,"2024"
"280","5 26","5",26,29,"y",4,0,15.04,"2024"
"281","5 26","5",26,29,"y",4,6,15.04,"2024"
"282","5 26","5",26,29,"n",4,24,15.04,"2024"
"283","5 27","5",27,29,"y",5,0,52.49,"2024"
"284","5 27","5",27,29,"y",5,6,52.49,"2024"
"285","5 27","5",27,29,"y",5,24,52.49,"2024"
"286","5 28","5",28,29,"y",5,0,65.15,"2024"
"287","5 28","5",28,29,"y",5,6,65.15,"2024"
"288","5 28","5",28,29,"y",5,24,65.15,"2024"
"289","5 29","5",29,29,"y",5,0,42.01,"2024"
"290","5 29","5",29,29,"y",5,6,42.01,"2024"
"291","5 29","5",29,29,"y",5,24,42.01,"2024"
"292","5 30","5",30,29,"y",5,0,67.58,"2024"
"293","5 30","5",30,29,"y",5,6,67.58,"2024"
"294","5 30","5",30,29,"y",5,24,67.58,"2024"
"295","5 31","5",31,29,"y",5,0,56.33,"2024"
"296","5 31","5",31,29,"y",5,6,56.33,"2024"
"297","5 31","5",31,29,"y",5,24,56.33,"2024"
"298","4 23","4",23,29,"y",5,0,55.12,"2024"
"299","4 23","4",23,29,"y",5,6,55.12,"2024"
"300","4 23","4",23,29,"y",5,24,55.12,"2024"
"301","4 24","4",24,29,"y",5,0,46.43,"2024"
"302","4 24","4",24,29,"y",5,6,46.43,"2024"
"303","4 24","4",24,29,"y",5,24,46.43,"2024"
"304","4 25","4",25,29,"y",5,0,30.97,"2024"
"305","4 25","4",25,29,"y",5,6,30.97,"2024"
"306","4 25","4",25,29,"y",5,24,30.97,"2024"
"307","4 26","4",26,29,"y",5,0,39.81,"2024"
"308","4 26","4",26,29,"y",5,6,39.81,"2024"
"309","4 26","4",26,29,"y",5,24,39.81,"2024"
"310","4 27","4",27,29,"y",5,0,47.05,"2024"
"311","4 27","4",27,29,"y",5,6,47.05,"2024"
"312","4 27","4",27,29,"y",5,24,47.05,"2024"
"313","5 32","5",32,11,"y",5,0,42.61,"2024"
"314","5 32","5",32,11,"y",5,6,42.61,"2024"
"315","5 32","5",32,11,"y",5,24,42.61,"2024"
"316","5 33","5",33,11,"y",5,0,52.78,"2024"
"317","5 33","5",33,11,"y",5,6,52.78,"2024"
"318","5 33","5",33,11,"y",5,24,52.78,"2024"
"319","5 34","5",34,11,"y",5,0,44.79,"2024"
"320","5 34","5",34,11,"y",5,6,44.79,"2024"
"321","5 34","5",34,11,"y",5,24,44.79,"2024"
"322","6 1","6",1,11,"y",5,0,56.62,"2024"
"323","6 1","6",1,11,"y",5,6,56.62,"2024"
"324","6 1","6",1,11,"y",5,24,56.62,"2024"
"325","6 2","6",2,11,"y",5,0,38.52,"2024"
"326","6 2","6",2,11,"n",5,6,38.52,"2024"
"327","6 2","6",2,11,"y",5,24,38.52,"2024"
