"","UniID","mom","ID","temp","active","instar","time","duration","Mo","fw","time.per","mgain","Jdate","rgrlog","gr"
"130","4 13","4",13,11,"y",4,6,6,16.87,17.73,"current",0.859999999999999,123,0.0035989421686321,0.143333333333333
"131","4 13","4",13,11,"y",4,24,-6.2,16.87,24.33,"current",7.46,124,0.00662612609757054,0.310833333333333
"132","4 14","4",14,11,"y",4,0,0,17.37,17.37,"current",0,123,NA,NA
"133","4 14","4",14,11,"y",4,6,6,17.37,20.56,"current",3.19,123,0.0122038819793566,0.531666666666666
"134","4 14","4",14,11,"y",4,24,-6.2,17.37,26.4,"current",9.03,124,0.00757517118428052,0.37625
"135","4 15","4",15,11,"y",4,0,0,11.92,11.92,"current",0,123,NA,NA
"136","4 15","4",15,11,"y",4,6,6,11.92,13.87,"current",1.95,123,0.0109667009448445,0.325
"137","4 15","4",15,11,"y",4,24,-6.2,11.92,18.94,"current",7.02,124,0.00837932163595988,0.2925
"138","4 16","4",16,11,"y",4,0,0,18.6,18.6,"current",0,123,NA,NA
"139","4 16","4",16,11,"y",4,6,6,18.6,21.43,"current",2.83,123,0.0102515378039854,0.471666666666666
"140","4 16","4",16,11,"y",4,24,-6.2,18.6,27.77,"current",9.17,124,0.00725262231384755,0.382083333333333
"141","4 17","4",17,11,"y",4,0,0,11.37,11.37,"current",0,123,NA,NA
"142","4 17","4",17,11,"y",4,6,6,11.37,12.45,"current",1.08,123,0.00656814779067005,0.18
"143","4 17","4",17,11,"y",4,24,-6.2,11.37,17.55,"current",6.18,124,0.00785486067142117,0.2575
"144","5 2","5",2,11,"y",4,0,0,15.63,15.63,"current",0,123,NA,NA
"145","5 2","5",2,11,"y",4,6,6,15.63,16.38,"current",0.749999999999998,123,0.00339248656753547,0.125
"146","5 2","5",2,11,"y",4,24,-6.2,15.63,21.5,"current",5.87,124,0.00576997841235077,0.244583333333333
"147","5 3","5",3,11,"y",4,0,0,11.24,11.24,"current",0,123,NA,NA
"148","5 3","5",3,11,"y",4,24,-6.2,11.24,14.3,"current",3.06,124,0.00435707192633415,0.1275
"149","5 4","5",4,11,"y",4,0,0,12.46,12.46,"current",0,123,NA,NA
"150","5 4","5",4,11,"y",4,6,6,12.46,12.89,"current",0.43,123,0.00245581250504205,0.0716666666666666
"151","5 4","5",4,11,"y",4,24,-6.2,12.46,16.71,"current",4.25,124,0.00531076698209336,0.177083333333333
"152","5 5","5",5,11,"y",4,0,0,12.38,12.38,"current",0,123,NA,NA
"153","5 5","5",5,11,"y",4,6,6,12.38,13.74,"current",1.36,123,0.00754434800657207,0.226666666666667
"154","5 5","5",5,11,"y",4,24,-6.2,12.38,16.38,"current",4,124,0.00506638553084586,0.166666666666667
"155","5 6","5",6,11,"y",4,0,0,12.85,12.85,"current",0,123,NA,NA
"156","5 6","5",6,11,"y",4,6,6,12.85,14.69,"current",1.84,123,0.00968644468715718,0.306666666666667
"157","5 6","5",6,11,"y",4,24,-6.2,12.85,15.46,"current",2.61,124,0.0033460984131247,0.10875
"158","5 7","5",7,17,"y",4,0,0,15.8,15.8,"current",0,123,NA,NA
"159","5 7","5",7,17,"y",4,6,6,15.8,19.93,"current",4.13,123,0.0168083686243442,0.688333333333333
"160","5 7","5",7,17,"y",4,24,-6.06666666666667,15.8,32.54,"current",16.74,124,0.0130733525686007,0.6975
"161","5 8","5",8,17,"y",4,0,0,15.95,15.95,"current",0,123,NA,NA
"162","5 8","5",8,17,"y",4,6,6,15.95,21.46,"current",5.51,123,0.0214781717061221,0.918333333333334
"163","5 8","5",8,17,"y",4,24,-6.06666666666667,15.95,33.38,"current",17.43,124,0.0133635685395845,0.72625
"164","5 9","5",9,17,"y",4,0,0,17.36,17.36,"current",0,123,NA,NA
"165","5 9","5",9,17,"y",4,6,6,17.36,21.15,"current",3.79,123,0.0142934418117647,0.631666666666666
"166","5 9","5",9,17,"y",4,24,-6.06666666666667,17.36,33.37,"current",16.01,124,0.0118252702422633,0.667083333333333
"167","5 10","5",10,17,"y",4,0,0,16.96,16.96,"current",0,123,NA,NA
"168","5 10","5",10,17,"y",4,6,6,16.96,20.61,"current",3.65,123,0.0141086906430863,0.608333333333333
"169","5 10","5",10,17,"y",4,24,-6.06666666666667,16.96,34.06,"current",17.1,124,0.0126174498210786,0.7125
